window,time_start_s,time_end_s,cpu_prob,rknn_prob,prob_diff,h_diff,c_diff,cpu_voice,rknn_voice
0,0.0,0.032,0.04406332969665527,0.06500244140625,0.020939111709594727,0.06566542387008667,0.10446345806121826,0,0
1,0.032,0.064,0.062332093715667725,0.07342529296875,0.011093199253082275,0.1275538057088852,0.21325501799583435,0,0
2,0.064,0.096,0.06616199016571045,0.059112548828125,0.007049441337585449,0.14696070551872253,0.2735152542591095,0,0
3,0.096,0.128,0.04771590232849121,0.051666259765625,0.003950357437133789,0.16163787245750427,0.3246918320655823,0,0
4,0.128,0.16,0.06349506974220276,0.0499267578125,0.013568311929702759,0.1607125699520111,0.3625776171684265,0,0
5,0.16,0.192,0.07883337140083313,0.05108642578125,0.02774694561958313,0.177357017993927,0.4132149815559387,0,0
6,0.192,0.224,0.08808565139770508,0.05389404296875,0.03419160842895508,0.1814148873090744,0.4529065489768982,0,0
7,0.224,0.256,0.08731573820114136,0.05584716796875,0.03146857023239136,0.17895035445690155,0.48466360569000244,0,0
8,0.256,0.288,0.07806572318077087,0.05755615234375,0.020509570837020874,0.18513223528862,0.5233701467514038,0,0
9,0.288,0.32,0.07572624087333679,0.0584716796875,0.017254561185836792,0.18263624608516693,0.5554535388946533,0,0
10,0.32,0.352,0.07003533840179443,0.058563232421875,0.011472105979919434,0.1784006953239441,0.5770882368087769,0,0
11,0.352,0.384,0.06690943241119385,0.058074951171875,0.008834481239318848,0.16254785656929016,0.5769333839416504,0,0
12,0.384,0.416,0.06629940867424011,0.05670166015625,0.009597748517990112,0.16776400804519653,0.5984096527099609,0,0
13,0.416,0.448,0.06524097919464111,0.05548095703125,0.009760022163391113,0.1777004599571228,0.634008526802063,0,0
14,0.448,0.48,0.06529375910758972,0.053375244140625,0.011918514966964722,0.14002110064029694,0.5768865942955017,0,0
15,0.48,0.512,0.05461278557777405,0.051910400390625,0.002702385187149048,0.15620727837085724,0.6063446998596191,0,0
16,0.512,0.544,0.06341955065727234,0.049407958984375,0.014011591672897339,0.13504016399383545,0.5865448713302612,0,0
17,0.544,0.576,0.23372668027877808,0.058563232421875,0.17516344785690308,0.18669074773788452,0.5649431347846985,0,0
18,0.576,0.608,0.1264110803604126,0.066650390625,0.0597606897354126,0.16732770204544067,0.5363127589225769,0,0
19,0.608,0.64,0.0740039050579071,0.052520751953125,0.021483153104782104,0.16153046488761902,0.5087794065475464,0,0
20,0.64,0.672,0.06002923846244812,0.054718017578125,0.00531122088432312,0.15143167972564697,0.46441251039505005,0,0
21,0.672,0.704,0.0512581467628479,0.04534912109375,0.0059090256690979,0.13772252202033997,0.44694983959198,0,0
22,0.704,0.736,0.048421651124954224,0.04119873046875,0.007222920656204224,0.15348905324935913,0.494765043258667,0,0
23,0.736,0.768,0.048932045698165894,0.040374755859375,0.008557289838790894,0.14967918395996094,0.518181324005127,0,0
24,0.768,0.8,0.04607653617858887,0.038299560546875,0.007776975631713867,0.11510206013917923,0.48758891224861145,0,0
25,0.8,0.832,0.041234105825424194,0.03900146484375,0.0022326409816741943,0.13777098059654236,0.5271337032318115,0,0
26,0.832,0.864,0.04241985082626343,0.0394287109375,0.0029911398887634277,0.14987817406654358,0.5772897601127625,0,0
27,0.864,0.896,0.0414959192276001,0.0390625,0.0024334192276000977,0.16101375222206116,0.6306602954864502,0,0
28,0.896,0.928,0.053317129611968994,0.036651611328125,0.016665518283843994,0.13093790411949158,0.6103246212005615,0,0
29,0.928,0.96,0.0396885871887207,0.036651611328125,0.003036975860595703,0.14324215054512024,0.6273992657661438,0,0
30,0.96,0.992,0.041055142879486084,0.03582763671875,0.005227506160736084,0.1334337294101715,0.6292386651039124,0,0
31,0.992,1.024,0.04604116082191467,0.035064697265625,0.010976463556289673,0.10762050002813339,0.6099406480789185,0,0
32,1.024,1.056,0.043021947145462036,0.03515625,0.007865697145462036,0.10612192004919052,0.6077283620834351,0,0
33,1.056,1.088,0.0401214063167572,0.0345458984375,0.005575507879257202,0.12717095017433167,0.6447845697402954,0,0
34,1.088,1.12,0.04102632403373718,0.03399658203125,0.007029742002487183,0.13129715621471405,0.6694009304046631,0,0
35,1.12,1.152,0.039294689893722534,0.03375244140625,0.005542248487472534,0.1414431780576706,0.6958059072494507,0,0
36,1.152,1.184,0.040138304233551025,0.033538818359375,0.006599485874176025,0.13825607299804688,0.7128315567970276,0,0
37,1.184,1.216,0.09282907843589783,0.033660888671875,0.05916818976402283,0.16041982173919678,0.7081998586654663,0,0
38,1.216,1.248,0.9457119703292847,0.66845703125,0.27725493907928467,0.16223138570785522,0.626413881778717,1,1
39,1.248,1.28,0.943004846572876,0.74560546875,0.19739937782287598,0.14643460512161255,0.6022112369537354,1,1
40,1.28,1.312,0.9181023836135864,0.76904296875,0.14905941486358643,0.11392517387866974,0.5529899001121521,1,1
41,1.312,1.344,0.9307280778884888,0.83740234375,0.09332573413848877,0.09897971153259277,0.5221880674362183,1,1
42,1.344,1.376,0.7738971710205078,0.8740234375,0.10012626647949219,0.13872185349464417,0.5516456365585327,1,1
43,1.376,1.408,0.9844380021095276,0.96240234375,0.022035658359527588,0.1244581863284111,0.5340026617050171,1,1
44,1.408,1.44,0.9956213235855103,0.9921875,0.003433823585510254,0.10144256055355072,0.49903011322021484,1,1
45,1.44,1.472,0.994240939617157,0.99365234375,0.0005885958671569824,0.13164377212524414,0.5227980613708496,1,1
46,1.472,1.504,0.9942872524261475,0.99267578125,0.001611471176147461,0.10644002258777618,0.5039719939231873,1,1
47,1.504,1.536,0.9964416027069092,0.9951171875,0.0013244152069091797,0.12290459126234055,0.531929612159729,1,1
48,1.536,1.568,0.9961251020431519,0.9951171875,0.0010079145431518555,0.12216265499591827,0.5514235496520996,1,1
49,1.568,1.6,0.9946683645248413,0.99267578125,0.0019925832748413086,0.14761042594909668,0.5872534513473511,1,1
50,1.6,1.632,0.9837021827697754,0.982421875,0.0012803077697753906,0.1327105164527893,0.6051561832427979,1,1
51,1.632,1.664,0.9828165769577026,0.9638671875,0.018949389457702637,0.12178324162960052,0.5831438899040222,1,1
52,1.664,1.696,0.8590183854103088,0.916015625,0.05699723958969116,0.1476154327392578,0.6208059787750244,1,1
53,1.696,1.728,0.5102190375328064,0.8720703125,0.3618512749671936,0.19071950018405914,0.6675103902816772,1,1
54,1.728,1.76,0.9617807269096375,0.9755859375,0.013805210590362549,0.16198208928108215,0.6828392744064331,1,1
55,1.76,1.792,0.9906731843948364,0.994140625,0.0034674406051635742,0.14725036919116974,0.6837729215621948,1,1
56,1.792,1.824,0.9924840927124023,0.99560546875,0.0031213760375976562,0.1528012752532959,0.70998615026474,1,1
57,1.824,1.856,0.9903520345687866,0.99560546875,0.005253434181213379,0.14715588092803955,0.724885880947113,1,1
58,1.856,1.888,0.9953320026397705,0.9970703125,0.0017383098602294922,0.1287895143032074,0.7286624908447266,1,1
59,1.888,1.92,0.9961546063423157,0.9970703125,0.0009157061576843262,0.1531914919614792,0.7607584595680237,1,1
60,1.92,1.952,0.9958654642105103,0.99609375,0.0002282857894897461,0.15906408429145813,0.8100430965423584,1,1
61,1.952,1.984,0.9856629371643066,0.9921875,0.006524562835693359,0.14798219501972198,0.8367809057235718,1,1
62,1.984,2.016,0.9399434328079224,0.966796875,0.026853442192077637,0.13377028703689575,0.8349406719207764,1,1
63,2.016,2.048,0.9953127503395081,0.99072265625,0.004590094089508057,0.15225376188755035,0.8438050150871277,1,1
64,2.048,2.08,0.9951725006103516,0.99560546875,0.0004329681396484375,0.14548622071743011,0.8366268873214722,1,1
65,2.08,2.112,0.9949287176132202,0.994140625,0.0007880926132202148,0.1627650260925293,0.8602668046951294,1,1
66,2.112,2.144,0.9773221015930176,0.98388671875,0.006564617156982422,0.16068153083324432,0.9209553003311157,1,1
67,2.144,2.176,0.8050189018249512,0.95751953125,0.15250062942504883,0.16894039511680603,0.941362738609314,1,1
68,2.176,2.208,0.9785916805267334,0.98095703125,0.0023653507232666016,0.16809873282909393,0.9288341403007507,1,1
69,2.208,2.24,0.976736307144165,0.97021484375,0.006521463394165039,0.1547681987285614,0.9100631475448608,1,1
70,2.24,2.272,0.9941261410713196,0.9873046875,0.00682145357131958,0.17747271060943604,0.9495991468429565,1,1
71,2.272,2.304,0.9950423240661621,0.994140625,0.0009016990661621094,0.1553652137517929,0.9148824214935303,1,1
72,2.304,2.336,0.9931713342666626,0.99560546875,0.0024341344833374023,0.1433107554912567,0.916039228439331,1,1
73,2.336,2.368,0.9927093386650085,0.994140625,0.001431286334991455,0.1772913932800293,0.967276930809021,1,1
74,2.368,2.4,0.9902942180633545,0.99267578125,0.002381563186645508,0.16578510403633118,0.9772116541862488,1,1
75,2.4,2.432,0.9883778095245361,0.9921875,0.003809690475463867,0.14666832983493805,0.9728084802627563,1,1
76,2.432,2.464,0.9856340885162354,0.99169921875,0.0060651302337646484,0.15384259819984436,0.9886603355407715,1,1
77,2.464,2.496,0.9847028255462646,0.9921875,0.0074846744537353516,0.16981565952301025,1.0210139751434326,1,1
78,2.496,2.528,0.982944130897522,0.99169921875,0.008755087852478027,0.18150639533996582,1.048790693283081,1,1
79,2.528,2.56,0.9800058007240295,0.98828125,0.008275449275970459,0.19234007596969604,1.0829358100891113,1,1
80,2.56,2.592,0.9747482538223267,0.97998046875,0.00523221492767334,0.20264840126037598,1.1100711822509766,1,1
81,2.592,2.624,0.9739989042282104,0.96923828125,0.004760622978210449,0.1864117980003357,1.0844776630401611,1,1
82,2.624,2.656,0.9737600684165955,0.94921875,0.02454131841659546,0.19874009490013123,1.0734132528305054,1,1
83,2.656,2.688,0.9844220876693726,0.919921875,0.06450021266937256,0.26190322637557983,1.1214890480041504,1,1
84,2.688,2.72,0.9916384220123291,0.94873046875,0.0429079532623291,0.2663038372993469,1.158605933189392,1,1
85,2.72,2.752,0.9921870827674866,0.9599609375,0.03222614526748657,0.2568281292915344,1.215458869934082,1,1
86,2.752,2.784,0.9923540949821472,0.95703125,0.03532284498214722,0.2735733985900879,1.2766036987304688,1,1
87,2.784,2.816,0.9868385791778564,0.935546875,0.051291704177856445,0.2745281457901001,1.3498508930206299,1,1
88,2.816,2.848,0.9237563610076904,0.8935546875,0.03020167350769043,0.22353607416152954,1.3033562898635864,1,1
89,2.848,2.88,0.5454193949699402,0.91259765625,0.3671782612800598,0.23168876767158508,1.2794678211212158,1,1
90,2.88,2.912,0.2710070013999939,0.89892578125,0.6279187798500061,0.25580739974975586,1.2434923648834229,0,1
91,2.912,2.944,0.28787076473236084,0.876953125,0.5890823602676392,0.2502771317958832,1.205289363861084,0,1
92,2.944,2.976,0.30657440423965454,0.85498046875,0.5484060645103455,0.2629442512989044,1.22219979763031,0,1
93,2.976,3.008,0.9762544631958008,0.93603515625,0.04021930694580078,0.23379090428352356,1.197383165359497,1,1
94,3.008,3.04,0.9833563566207886,0.98388671875,0.0005303621292114258,0.19188110530376434,1.1340556144714355,1,1
95,3.04,3.072,0.9568934440612793,0.98095703125,0.024063587188720703,0.1922532618045807,1.1443941593170166,1,1
